frame_id,frame_num,gaze_position_x_med,gaze_position_y_med,action_int
RZ_4303947_1,1,60.12658227848102,-96.75791733762749,4
RZ_4303947_2,2,70.98101265822784,-132.79656468062265,4
RZ_4303947_3,3,70.8597046413502,-132.29736983360172,4
RZ_4303947_4,4,58.154008438818565,-85.63607085346216,4
RZ_4303947_5,5,58.50210970464134,-86.61567364465915,4
RZ_4303947_6,6,58.607594936708864,-88.01395598497048,4
RZ_4303947_7,7,58.81065400843882,-88.24476650563606,4
RZ_4303947_8,8,58.09071729957806,-110.82662372517444,4
RZ_4303947_9,9,53.58649789029536,-87.68115942028986,4
RZ_4303947_10,10,53.5126582278481,-88.1105743424584,4
RZ_4303947_11,11,53.502109704641356,-88.60440150295223,4
RZ_4303947_12,12,53.46518987341772,-88.5775630703167,4
RZ_4303947_13,13,29.546413502109708,-113.76811594202897,4
RZ_4303947_14,14,29.64662447257384,-118.09715512614062,4
RZ_4303947_15,15,29.77320675105485,-116.67471819645732,4
RZ_4303947_16,16,29.836497890295355,-116.26409017713364,4
RZ_4303947_17,17,30.021097046413505,-116.19431025228128,4
RZ_4303947_18,18,23.602320675105485,-114.0096618357488,4
RZ_4303947_19,19,23.929324894514767,-112.70531400966183,4
RZ_4303947_20,20,23.895042194092827,-113.25013419216319,4
RZ_4303947_21,21,23.93196202531646,-113.60708534621578,4
RZ_4303947_22,22,23.971518987341767,-113.67686527106817,4
RZ_4303947_23,23,23.987341772151897,-113.65002683843264,4
RZ_4303947_24,24,29.124472573839665,-104.34782608695652,4
RZ_4303947_25,25,28.53639240506329,-104.90874932903918,7
RZ_4303947_26,26,28.275316455696203,-105.62533548040794,7
RZ_4303947_27,27,28.27267932489451,-105.62533548040794,4
RZ_4303947_28,28,28.40981012658228,-105.58239398819109,4
RZ_4303947_29,29,28.517932489451475,-105.40257648953302,4
RZ_4303947_30,30,28.59177215189873,-105.43209876543207,4
RZ_4303947_31,31,28.528481012658222,-105.0805152979066,4
RZ_4303947_32,32,28.517932489451475,-105.01878690284488,4
RZ_4303947_33,33,30.18987341772152,-111.00375738056896,4
RZ_4303947_34,34,25.287447257383967,-114.11701556629092,4
RZ_4303947_35,35,25.295358649789023,-114.03650026838432,4
RZ_4303947_36,36,25.39820675105485,-113.99892646269456,4
RZ_4303947_37,37,25.498417721518987,-113.96672034353192,4
RZ_4303947_38,38,25.609177215189874,-113.96940418679549,4
RZ_4303947_39,39,25.64873417721519,-113.91841116478795,4
RZ_4303947_40,40,25.65400843881857,-113.99892646269456,0
RZ_4303947_41,41,29.878691983122366,-113.9103596349973,0
RZ_4303947_42,42,32.054324894514764,-113.11325818572196,0
RZ_4303947_43,43,31.487341772151897,-113.20450885668278,0
RZ_4303947_44,44,31.402953586497887,-113.34943639291464,0
RZ_4303947_45,45,31.358122362869196,-113.1052066559313,0
RZ_4303947_46,46,31.22890295358649,-113.15083199141168,0
RZ_4303947_47,47,31.194620253164558,-113.19914117015567,0
RZ_4303947_48,48,31.18143459915612,-113.36553945249597,0
RZ_4303947_49,49,31.054852320675103,-113.29575952764358,0
RZ_4303947_50,50,31.0996835443038,-112.85560923242082,0
RZ_4303947_52,52,27.94567510548523,-130.16371443907676,0
RZ_4303947_53,53,29.82067510548523,-117.62748255501879,0
RZ_4303947_54,54,30.247890295358648,-117.88244766505636,0
RZ_4303947_55,55,30.48786919831224,-117.18733225979602,0
RZ_4303947_56,56,30.632911392405063,-117.1765968867418,0
RZ_4303947_57,57,30.796413502109708,-117.05314009661836,0
RZ_4303947_58,58,30.71202531645569,-117.05314009661836,0
RZ_4303947_59,59,30.71202531645569,-116.99946323134728,0
RZ_4303947_60,60,30.50632911392405,-117.29200214707461,0
RZ_4303947_61,61,30.242616033755272,-117.45034889962426,0
RZ_4303947_62,62,30.11867088607595,-117.62748255501879,0
RZ_4303947_63,63,30.01054852320675,-117.6328502415459,0
RZ_4303947_64,64,29.98417721518987,-117.68652710681695,0
RZ_4303947_65,65,29.831223628691987,-117.75630703166937,0
RZ_4303947_66,66,29.7415611814346,-117.8287707997853,0
RZ_4303947_67,67,29.78902953586498,-117.81266774020398,0
RZ_4303947_68,68,29.85759493670886,-117.8743961352657,0
RZ_4303947_69,69,29.9789029535865,-118.02469135802468,0
RZ_4303947_70,70,29.992088607594937,-117.9200214707461,0
RZ_4303947_71,71,29.994725738396625,-118.00858829844336,0
RZ_4303947_72,72,30.060654008438817,-117.84755770263016,0
RZ_4303947_73,73,30.19251054852321,-117.45034889962426,0
RZ_4303947_74,74,30.216244725738395,-117.39935587761674,0
RZ_4303947_75,75,30.255801687763714,-117.04777241009124,0
RZ_4303947_76,76,24.7837552742616,-114.11701556629093,0
RZ_4303947_77,77,23.960970464135023,-110.71658615136876,2
RZ_4303947_78,78,24.074367088607595,-111.0144927536232,2
RZ_4303947_79,79,24.26160337552743,-111.31508319914116,2
RZ_4303947_80,80,24.393459915611814,-111.45464304884595,2
RZ_4303947_81,81,24.39345991561181,-111.54052603327963,2
RZ_4303947_82,82,24.469936708860764,-111.41170155662908,2
RZ_4303947_83,83,24.37236286919831,-111.28287707997852,2
RZ_4303947_84,84,24.47257383966245,-111.19699409554482,2
RZ_4303947_85,85,24.443565400843884,-111.07622114868491,2
RZ_4303947_86,86,24.517405063291136,-110.9339774557166,2
RZ_4303947_87,87,24.570147679324897,-110.77026301663983,2
RZ_4303947_88,88,24.7837552742616,-110.7085346215781,2
RZ_4303947_89,89,24.83649789029536,-110.88030059044551,2
RZ_4303947_90,90,24.83386075949367,-110.9044551798175,2
RZ_4303947_91,91,24.968354430379748,-111.03059581320451,2
RZ_4303947_92,92,25.063291139240505,-110.47772410091252,2
